SN,author,year,location,country,TSI,Journal,study_design,Impact studied,impacted_entity,Impacted_system,mean_control,sd_control,ss_control,mean_invaded,sd_invaded,ss_invaded,,,,,,,,
95,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Dissolved Oxygen,Dissolved oxygen,Water quality,7.38,NA,3,4.97,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
96,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Carbonate concentration,Carbonate,Water quality,19.99,NA,3,9.39,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
97,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Bicarbonate,Carbonate,Water quality,280.4,NA,3,345.9,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
98,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Alkalinity,Alkalinity,Water quality,300.4,NA,3,355.3,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
99,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Secchi depth (cm),Sechi depth,Water quality,11.04,NA,3,13.44,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
100,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Dissolved salts,Dissolved salts,Water quality,345.7,NA,3,293.8,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
101,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Orthophosphate,Phosphate,Water quality,0.488,NA,3,0.402,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
102,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Ammonia-nitrogen,Nitrogen,Water quality,0.72,NA,3,1.03,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
103,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Nitrites-Nitrogen,Nitrogen,Water quality,0.024,NA,3,0.029,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
104,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Nitrate,Nitrogen,Water quality,0.439,NA,3,0.251,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
105,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Phytoplankton abundance,Phytoplankton abundance,Phytoplankton,24996.54,NA,3,18180.2,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
106,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Phytoplankton abundance,Phytoplankton abundance,Phytoplankton,24996.54,NA,3,20922.51,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
107,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Fish production,Fish production,Fish,2071.9,NA,3,2160.2,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
108,Saeed & Al-Nagaawy,2013,Experimental Earthen ponds,Egypt,NA,Journal of the Arabian Aquaculture Society,Experiment setup,Fish production,Macroinvertebrate abundance,Invertebrate,2071.9,NA,3,1980,NA,3,"Impact of water hyacinth on physio-chemical properties of water, phytoplankto biomass and nile tilapia production in earthern ponds",,,,,,,
109,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,483.76,190,5,14.14,20.39,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
110,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,14.82,13.08,5,1.23,0.78,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
111,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,14.55,13.08,5,0.86,0.72,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
112,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,4.55,2.95,5,0.63,0.42,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
113,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,2.55,2.52,5,0.06,0.09,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
114,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,2.12,1.41,5,0.71,0.8,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
115,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,1.67,1.05,5,0.37,0.2,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
116,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,0.52,0.63,5,0.03,0.07,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
117,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,0.36,0.22,5,0.09,0.13,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
118,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,0.27,0.36,5,0.14,0.18,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
119,Coetzee et al.,2014,"Lake Nsezi-Nseleni, South Africa",South Africa,1908,Biodiversity and Conservation,Observation,Microinvertebrates,Macroinvertebrate abundance,Invertebrate,0.12,0.2,5,0.03,0.07,5,Water hyacinth reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa,,,,,,,
120,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Temperature ,Temperature,Water quality,28.9,1.1,3,28.49,1.12,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
121,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,pH,pH,Water quality,7.86,0.24,3,7.33,0.38,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
122,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Dissolved Oxygen,Dissolved oxygen,Water quality,7.7,0.38,3,6.86,0.31,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
123,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Ammonium-Nitrogen,Nitrogen,Water quality,0.11,0.01,3,0.16,0.029,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
124,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Ammonia-nitrogen,Nitrogen,Water quality,0.0055,0.001,3,0.0024,0.00087,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
125,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Nitrites-Nitrogen,Nitrogen,Water quality,0.28,0.05,3,0.21,0.41,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
126,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Nitrates-Nitrogen,Nitrogen,Water quality,12.85,6.77,3,25.77,12.99,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
127,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Alkalinity,Alkalinity,Water quality,100.5,13.75,3,120.17,11.95,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
128,Komara et al.,2022,Earthen ponds,Egypt,NA,Aquaculture Research,Experiment setup,Total heterotrophic bacteria count,Bacteria count,Water quality,210,66.7,3,496,149.57,3,"Uses of two freshwater macrophytes, water hyacinth (Eichhornia crassipes) and coontail (Ceratophyllum demersum), as carbohydrate sources in biofloc system for Nile tilapia (Oreochromis niloticus)",,,,,,,
129,Komara et al.,2022,Earthen ponds,Egypt,1903,Journal of Experimental Marine Biology and Ecology,Observation,Fish abundance,Fish abundance,Fish,0.4,0.21,3,2.3,0.7,4,Floating along marsh edge: The impact of invasive water hyacinth on estuarine species assembladges and predation risk,,,,,,,
130,Hill et al.,2021,Louisiana,USA,1903,Journal of Experimental Marine Biology and Ecology,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,0.78,0.2,3,2.5,0.3,4,Floating along marsh edge: The impact of invasive water hyacinth on estuarine species assembladges and predation risk,,,,,,,
131,Hill et al.,2021,Louisiana,USA,1903,Journal of Experimental Marine Biology and Ecology,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,1.1,0.19,3,2.05,0.22,4,Floating along marsh edge: The impact of invasive water hyacinth on estuarine species assembladges and predation risk,,,,,,,
132,Hill et al.,2021,Louisiana,USA,1903,Journal of Experimental Marine Biology and Ecology,Observation,Total species richness,Macroinvertebrate abundance,Invertebrate,3.3,1.33,3,4.18,1.22,4,Floating along marsh edge: The impact of invasive water hyacinth on estuarine species assembladges and predation risk,,,,,,,
133,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Temperature ,Temperature,Water quality,22,0.4,1,26.4,4.2,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
134,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Temperature ,Temperature,Water quality,22,0.4,1,26.1,4.5,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
135,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Dissolved Oxygen,Dissolved oxygen,Water quality,8.1,0.3,1,2.7,0.2,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
136,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Dissolved Oxygen,Dissolved oxygen,Water quality,8.1,0.3,1,3,0.4,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
137,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,pH,pH,Water quality,7.2,0.6,1,8.3,0.6,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
138,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,pH,pH,Water quality,7.2,0.6,1,8.1,0.7,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
139,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Total dissolved solid ,Suspended solid,Water quality,89.6,7.2,1,145.2,11,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
140,Muche et al.,2020,Lake Tana,Ethiopia,NA,Sustainanble Water Resource Management,Experiment setup,Total dissolved solid ,Suspended solid,Water quality,89.6,7.2,1,138.6,12,3,"Water quality and transpiration responses of Eichhornia Crassipes at Lake Tana, Ethiopia",,,,,,,
141,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,20.93,2.41,3,11.42,1.15,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
142,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,21.27,2.14,3,13.25,1.47,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
143,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,16.95,1.75,3,5.61,0.94,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
144,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,13.47,1.72,3,5.83,0.55,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
145,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.75,0.59,3,2.64,0.4,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
146,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,3.55,0.45,3,5.33,0.67,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
147,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.95,0.47,3,6.81,0.97,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
148,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.18,0.4,3,5.36,0.77,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
149,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,37.52,0.07,3,21.69,4.44,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
150,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,11.75,0.92,3,39.92,2.95,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
151,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,4.85,0.83,3,13.67,0.98,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
152,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,4.23,0.71,3,15.69,0.98,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
153,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,4.03,0.68,3,10.31,0.8,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
154,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,8.77,0.69,3,15.75,1.09,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
155,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,30.3,1.92,3,31.81,2.19,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
156,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,1.67,0.48,3,0.08,0.08,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
157,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,16.67,1.66,3,72.69,4.79,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
158,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,0.25,0.1,3,2.08,1.07,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
159,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,0.53,0.23,3,1.89,0.56,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
160,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,15.2,1.99,3,64.06,3.53,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
161,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.03,0.49,3,12.64,1.03,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
162,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,2.3,0.46,3,3.08,0.76,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
163,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,1.17,0.35,3,0.75,0.37,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
164,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,0.28,0.12,3,0.97,0.35,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
165,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,10.97,1.52,3,2.05,0.35,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
166,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,6,1.51,3,1.25,0.41,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
167,basukala et al.,2022,Pokhara Valley,Nepal,NA,Prithivi Academy Journal,Observation,Invertebrate abundance,Macroinvertebrate abundance,Invertebrate,13.42,1.39,3,2.93,0.42,3,"The invasion of water hyacinth and its impact on diversity of macro-invertebrates in the lake cluster of Pokhara Valley, Nepal",,,,,,,
168,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,6467,44.34,12,6142,3.18,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
169,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,20,1.03,12,21,2.09,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
170,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,3,1.38,12,4,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
171,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,94,4.16,12,88,4.17,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
172,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,19,2.42,12,21,3.18,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
173,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,5,1.39,12,2,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
174,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,7.97,12,0,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
175,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,8,0,12,0,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
176,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,162,10.74,12,151,2.42,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
177,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,32,0,12,31,2.42,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
178,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,33,2.09,12,28,4.16,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
179,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,33,2.09,12,28,4.16,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
180,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,1.04,12,9,2.42,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
181,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,2.42,12,10,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
182,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,5,1.04,12,5,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
183,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,6467,44.34,12,2841,2.42,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
184,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,20,1.03,12,10,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
185,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,3,1.38,12,2,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
186,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,94,4.16,12,60,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
187,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,19,2.42,12,14,3.18,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
